"BHID";"FROM";"TO";"LENGTH";"CODE";"Minéralogie";"Minéralisation";"DESCRIPTION";"Poids(Kg) p";"Poids(Kg) g";"Poids Récupéré (Kg)";"Poids Théorique (Kg)";"Taux de Récupération (%)";"PROJECT"
GT-RC-19;16.0;17.0;1.0;GRE;;;Grès altéré;5.0;30.1;35.1;38.465;91.25;
GT-RC-21;46.0;47.0;1.0;GRE;;;Grès;5.0;30.0;35.0;38.465;90.99;
GT-RC-37;47.0;48.0;1.0;GRE;;;Grès quartzique;5.0;30.0;35.0;38.465;90.99;
GT-RC-35;53.0;54.0;1.0;PEL;;;Pélites noires à épsilon pyrite;5.0;29.8;34.8;38.465;90.47;
GT-RC-35;32.0;33.0;1.0;GRE;;;Grès à épsilon pyrite;5.0;29.4;34.4;38.465;89.43;
GT-RC-10;10.0;11.0;1.0;GRE;;;Grésopélites;5.0;29.3;34.3;38.465;89.17;
GT-RC-01;18.0;19.0;1.0;GRE;;;Grès altéré à éléments de sidérute;5.0;29.0;34.0;38.465;88.39;
GT-RC-21;57.0;58.0;1.0;GRE;;;Grès;5.0;28.9;33.9;38.465;88.13;
GT-RC-35;68.0;69.0;1.0;GRE;;;Grès;5.0;28.6;33.6;38.465;87.35;
GT-RC-37;29.0;30.0;1.0;PEL;;;Pélites noires;5.0;28.6;33.6;38.465;87.35;
GT-RC-10;29.0;30.0;1.0;GRE;;;Grès à épsilon ankérites+épsilon pyrite;5.0;28.5;33.5;38.465;87.09;
GT-RC-05;59.0;60.0;1.0;PEL;;;Pélites Noires;5.0;28.4;33.4;38.465;86.83;
GT-RC-37;82.0;83.0;1.0;GRE;;;Grèso-pélites à ankérites;5.0;28.3;33.3;38.465;86.57;
GT-RC-21;77.0;78.0;1.0;GRE;;;Grès;5.0;28.2;33.2;38.465;86.31;
GT-RC-35;27.0;28.0;1.0;GRE;;;Grès+py;5.0;28.2;33.2;38.465;86.31;
GT-RC-30;51.0;52.0;1.0;GRE;;;Grès pélitiques;5.0;27.9;32.9;38.465;85.53;
GT-RC-28;69.0;70.0;1.0;GRE;;;Grès;5.0;27.7;32.7;38.465;85.01;
GT-RC-07;34.0;35.0;1.0;PEL;;;Pélites noires;5.0;27.6;32.6;38.465;84.75;
GT-RC-09;7.0;8.0;1.0;GRE;;;Grès Altérés;4.0;27.5;31.5;38.465;81.89;
GT-RC-19;93.0;94.0;1.0;PEL;;;Pélites noires à éléments d'ankerite;5.0;27.5;32.5;38.465;84.49;
GT-RC-28;70.0;71.0;1.0;GRE;;;Grès;5.0;27.5;32.5;38.465;84.49;
GT-RC-28;51.0;52.0;1.0;PEL;;;Pélites noires + Py;5.0;27.3;32.3;38.465;83.97;
GT-RC-28;68.0;69.0;1.0;GRE;;;Grès;5.0;27.3;32.3;38.465;83.97;
GT-RC-37;84.0;85.0;1.0;GRE;;;Grèso-pélites;5.0;27.3;32.3;38.465;83.97;
